timestamp,open,high,low,close,volume,delta,cvd_open,cvd_high,cvd_low,cvd_close,ema_8,ema_9,ema_13,ema_21,ema_22,ema_50,ema_100,ema_200,cvd_ema_8,cvd_ema_9,cvd_ema_13,cvd_ema_21,cvd_ema_22,cvd_ema_50,cvd_ema_100,cvd_ema_200
2025-07-14 14:34:00+00:00,6287.0,6288.75,6286.25,6288.25,2352,-360,-2681,-2678,-3174,-3037,6289.607718205102,6289.894858768746,6290.760436734396,6291.529621577875,6291.574812947425,6291.766232407965,6291.692680911458,6291.737646497579,-2135.122596658742,-2027.3567793055997,-1704.8552949635534,-1417.21120557135,-1400.519823720417,-1351.545424257902,-1393.9991380955676,-1366.0449729933234
2025-07-14 14:35:00+00:00,6288.25,6290.5,6287.5,6290.0,2453,367,-3038,-2658,-3172,-2670,6289.694891937302,6289.915887014998,6290.651802915197,6291.390565070796,6291.437872691127,6291.696968391966,6291.659162477568,6291.720356482678,-2253.9842418456883,-2155.88542344448,-1842.7331099687601,-1531.1010959739547,-1510.9094042664678,-1403.249525267396,-1419.2664818956553,-1379.0196498789621
2025-07-14 14:36:00+00:00,6290.0,6291.25,6289.25,6289.75,1564,152,-2667,-2449,-2667,-2518,6289.707138173457,6289.8827096119985,6290.522973927312,6291.241422791632,6291.2911011527685,6291.62061669032,6291.6213572799925,6291.700750945537,-2312.654410324424,-2228.308338755584,-1939.1998085446517,-1620.8191781581406,-1598.4824995476447,-1446.9652301588706,-1441.023581264058,-1390.3527876911119
2025-07-14 14:37:00+00:00,6290.0,6292.75,6290.0,6291.5,2354,648,-2509,-1762,-2533,-1870,6290.1055519126885,6290.206167689599,6290.662549080554,6291.264929810574,6291.309266269919,6291.615886624033,6291.618954165537,6291.698753423691,-2214.2867635856633,-2156.6466710044674,-1929.3141216097015,-1643.471980143764,-1622.0927169782844,-1463.5548289761698,-1449.5181638132847,-1395.1253967688124
2025-07-14 14:38:00+00:00,6291.25,6292.5,6290.75,6292.25,1421,33,-1871,-1804,-1973,-1837,6290.582095932091,6290.614934151679,6290.889327783332,6291.354481645976,6291.39106920297,6291.640753815248,6291.631450122654,6291.704238464252,-2130.445260566627,-2092.717336803574,-1916.1263899511728,-1661.065436494331,-1640.78030680626,-1478.199737643771,-1457.1910714605463,-1399.5221589900184
2025-07-14 14:39:00+00:00,6292.0,6292.75,6290.75,6291.25,1059,15,-1841,-1721,-1847,-1822,6290.730519058293,6290.741947321344,6290.940852385714,6291.344983314523,6291.378802315756,6291.625430136219,6291.623896654879,6291.699718678538,-2061.901869329599,-2038.5738694428594,-1902.679762815291,-1675.6958513584825,-1656.53854099702,-1491.682100873427,-1464.4150106395452,-1403.725918602058
2025-07-14 14:40:00+00:00,6291.5,6293.0,6290.25,6292.25,1597,121,-1821,-1694,-1949,-1701,6291.0681814897835,6291.043557857076,6291.12787347347,6291.427257558657,6291.4545586361255,6291.649923072054,6291.636294740921,6291.705194114573,-1981.7014539230213,-1971.0590955542878,-1873.8683681273924,-1677.9962285077113,-1660.4047548233661,-1499.8906459372142,-1469.0998619140096,-1406.6838696607442
2025-07-14 14:41:00+00:00,6292.25,6293.5,6291.5,6293.0,1101,37,-1700,-1644,-1828,-1664,6291.497474492054,6291.4348462856615,6291.3953201201175,6291.570234144234,6291.58894484168,6291.702867265307,6291.663298805457,6291.718077755224,-1911.1011308290165,-1909.6472764434302,-1843.8871726806221,-1676.7238440979193,-1660.7173848387256,-1506.3263068808528,-1472.9592705889797,-1409.2442291666075
2025-07-14 14:42:00+00:00,6292.75,6293.25,6291.5,6293.0,1103,-173,-1665,-1617,-1855,-1837,6291.831369049375,6291.74787702853,6291.624560102959,6291.7002128583945,6291.71164529023,6291.753735215687,6291.689768136042,6291.730833200446,-1894.6342128670128,-1895.1178211547442,-1842.9032908691047,-1691.294403725381,-1676.0463078962277,-1519.293902689447,-1480.1679979040493,-1413.500505493308
2025-07-14 14:43:00+00:00,6293.0,6293.5,6291.25,6292.0,1326,-138,-1834,-1709,-2041,-1975,6291.868842593958,6291.7983016228245,6291.678194373965,6291.727466234904,6291.736719612819,6291.763392658209,6291.6959113412695,6291.7335114770585,-1912.4932766743434,-1911.0942569237955,-1861.7742493163755,-1717.0858215685282,-1702.0422811226429,-1537.164730034959,-1489.9666514108999,-1419.087565140141
2025-07-14 14:44:00+00:00,6292.0,6292.75,6291.25,6292.25,763,25,-1974,-1946,-2005,-1950,6291.9535442397455,6291.88864129826,6291.75988089197,6291.774969304458,6291.781352689965,6291.782475299064,6291.706883393917,6291.7386506663415,-1920.8281040800448,-1918.8754055390364,-1874.3779279854648,-1738.259837789571,-1723.603821894587,-1553.3543484649606,-1499.07622267009,-1424.3702759347664
2025-07-14 14:45:00+00:00,6292.25,6294.0,6291.25,6293.75,1625,89,-1949,-1850,-2100,-1861,6292.352756630913,6292.260913038608,6292.044183621689,6291.954517549507,6291.952539412578,6291.859633130473,6291.747341148493,6291.758664092547,-1907.5329698400349,-1907.3003244312292,-1872.4667954161127,-1749.4180343541555,-1735.551315642884,-1565.4188838192758,-1506.2430301419693,-1428.7148503035746
2025-07-14 14:46:00+00:00,6293.75,6294.5,6293.5,6293.75,1594,140,-1847,-1439,-1858,-1721,6292.663255157377,6292.5587304308865,6292.287871675733,6292.117743226824,6292.108840333223,6291.933765164573,6291.786997759415,6291.778478380184,-1866.0811987644715,-1870.0402595449834,-1850.8286817852395,-1746.8345766855957,-1734.2859838478507,-1571.5201040616573,-1510.4956434064848,-1431.6231602508028
2025-07-14 14:47:00+00:00,6294.0,6294.5,6290.75,6291.5,2365,-457,-1719,-1551,-2248,-2178,6292.404754011293,6292.34698434471,6292.1753185792,6292.061584751658,6292.055897695552,6291.916754765963,6291.781314635466,6291.775707451028,-1935.3964879279224,-1931.6322076359868,-1897.5674415302053,-1786.0314333505414,-1772.869811339342,-1595.3036293925727,-1523.7135514578415,-1439.049795472188
2025-07-14 14:48:00+00:00,6291.75,6292.25,6289.75,6290.5,1812,-594,-2177,-2137,-2834,-2772,6291.981475342117,6291.977587475769,6291.9359873536005,6291.919622501508,6291.920602243765,6291.861195755533,6291.7559420684265,6291.76301384455,-2121.308379499495,-2099.7057661087897,-2022.4863784544618,-1875.664939409583,-1859.750697309834,-1641.448585102668,-1548.4320949933297,-1452.3129815868926
2025-07-14 14:49:00+00:00,6290.75,6291.25,6289.0,6289.75,1468,-364,-2771,-2748,-3154,-3136,6291.485591932757,6291.532069980615,6291.623703445944,6291.72238409228,6291.7318542225685,6291.77840376512,6291.716220443309,6291.742983856047,-2346.795406277385,-2306.9646128870318,-2181.559752960967,-1990.2408540087117,-1970.7288975437616,-1700.0584445104066,-1579.8690832112834,-1469.0660862477196
2025-07-14 14:50:00+00:00,6289.5,6290.75,6288.75,6290.0,1375,-163,-3138,-3031,-3341,-3299,6291.155460392145,6291.225655984493,6291.391745810809,6291.565803720254,6291.581258203215,6291.708662440998,6291.682235880075,6291.725640733102,-2558.396427104633,-2505.3716903096256,-2341.1940739665433,-2109.218958189738,-2086.2307325399565,-1762.7620349217632,-1613.911279583337,-1487.2743838969961
2025-07-14 14:51:00+00:00,6290.0,6293.75,6290.0,6293.25,2255,617,-3300,-2682,-3314,-2682,6291.620913638335,6291.630524787594,6291.65721069498,6291.7189124729575,6291.726366185544,6291.769107051155,6291.713280714132,6291.740808487002,-2585.863887748048,-2540.6973522477006,-2389.8806348284656,-2161.2899619906707,-2138.036755797352,-1798.81058257189,-1635.061551274756,-1499.162200972648
2025-07-14 14:52:00+00:00,6293.5,6294.0,6292.25,6293.0,1463,107,-2678,-2540,-2701,-2575,6291.927377274261,6291.904419830076,6291.849037738554,6291.835374975416,6291.837116952019,6291.817377362874,6291.7387603039515,6291.753337755788,-2583.449690470704,-2547.5578817981605,-2416.3262584243994,-2198.899965446064,-2176.0335596410605,-1829.2493832553455,-1653.6741938237708,-1509.8670546943133
